antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'bed_bath_table'}),frozenset({'home_confort'}),0.0954432124541382,0.004023675835647538,0.000435813755498348,0.004566210045662101,1.1348354669151055,5.1781207870057956e-05,1.0005450228990513
frozenset({'home_confort'}),frozenset({'bed_bath_table'}),0.004023675835647538,0.0954432124541382,0.000435813755498348,0.10831234256926953,1.1348354669151055,5.1781207870057956e-05,1.014432329535896
frozenset({'construction_tools_safety'}),frozenset({'home_construction'}),0.0016925790039121885,0.004966249771957918,2.0270407232481302e-05,0.011976047904191617,2.411487229622388,1.1864637140281635e-05,1.0070947653823215
frozenset({'home_construction'}),frozenset({'construction_tools_safety'}),0.004966249771957918,0.0016925790039121885,2.0270407232481302e-05,0.004081632653061225,2.4114872296223884,1.1864637140281635e-05,1.0023988448526293
frozenset({'market_place'}),frozenset({'books_general_interest'}),0.002837857012547382,0.005189224251515213,2.0270407232481302e-05,0.0071428571428571435,1.3764787946428572,5.544130800637914e-06,1.0019676878042292
frozenset({'books_general_interest'}),frozenset({'market_place'}),0.005189224251515213,0.002837857012547382,2.0270407232481302e-05,0.00390625,1.3764787946428572,5.544130800637914e-06,1.001072582763874
frozenset({'fashion_bags_accessories'}),frozenset({'fashion_childrens_clothes'}),0.018892019540672572,8.108162892992521e-05,2.0270407232481302e-05,0.001072961373390558,13.233100858369097,1.873861151434759e-05,1.0009929451362376
