antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.0029088034378610666,0.003567591672916709,7.094642531368455e-05,0.024390243902439022,6.836613082039911,6.056900239061991e-05,1.0213432185352604
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.003567591672916709,0.0029088034378610666,7.094642531368455e-05,0.019886363636363633,6.83661308203991,6.056900239061991e-05,1.0173220324344143
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.004733140088784384,0.0015810917641335413,0.00029392090487097885,0.06209850107066381,39.27570965793664,0.0002864373760581116,1.0645242697400676
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.0015810917641335413,0.004733140088784384,0.00029392090487097885,0.1858974358974359,39.27570965793664,0.0002864373760581116,1.222532520835824
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.003567591672916709,0.001013520361624065,6.08112216974439e-05,0.017045454545454544,16.81806818181818,5.719539489498235e-05,1.0163099446032033
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.001013520361624065,0.003567591672916709,6.08112216974439e-05,0.06,16.81806818181818,5.719539489498235e-05,1.0600344769437056
frozenset({'060cb19345d90064d1015407193c233d'}),frozenset({'98d61056e0568ba048e5d78038790e77'}),0.00025338009040601627,0.00038513773741714473,6.08112216974439e-05,0.24,623.1536842105263,6.0713635462718375e-05,1.3152827135033984
frozenset({'98d61056e0568ba048e5d78038790e77'}),frozenset({'060cb19345d90064d1015407193c233d'}),0.00038513773741714473,0.00025338009040601627,6.08112216974439e-05,0.15789473684210525,623.1536842105263,6.0713635462718375e-05,1.187199111142643
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'f2e53dd1670f3c376518263b3f71424d'}),0.004733140088784384,0.0002837857012547382,6.08112216974439e-05,0.01284796573875803,45.273478127867854,5.946802421821131e-05,1.0127277051572972
frozenset({'f2e53dd1670f3c376518263b3f71424d'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.0002837857012547382,0.004733140088784384,6.08112216974439e-05,0.2142857142857143,45.273478127867854,5.946802421821131e-05,1.266703276250638
frozenset({'dfb97c88e066dc22165f31648efe1312'}),frozenset({'a50acd33ba7a8da8e9db65094fa990a4'}),0.0003445969229521821,0.000841221900147974,5.067601808120325e-05,0.14705882352941177,174.8157335223246,5.038613560289227e-05,1.1714275329446542
frozenset({'a50acd33ba7a8da8e9db65094fa990a4'}),frozenset({'dfb97c88e066dc22165f31648efe1312'}),0.000841221900147974,0.0003445969229521821,5.067601808120325e-05,0.06024096385542168,174.8157335223246,5.038613560289227e-05,1.0637358776332688
frozenset({'ee57070aa3b24a06fdd0e02efd2d757d'}),frozenset({'0d85c435fd60b277ffb9e9b0f88f927a'}),0.00023310968317353495,0.0006385178278231609,6.08112216974439e-05,0.2608695652173913,408.55486542443066,6.066237700889939e-05,1.3520772994094157
frozenset({'0d85c435fd60b277ffb9e9b0f88f927a'}),frozenset({'ee57070aa3b24a06fdd0e02efd2d757d'}),0.0006385178278231609,0.00023310968317353495,6.08112216974439e-05,0.09523809523809525,408.5548654244307,6.066237700889939e-05,1.1050055103501766
frozenset({'6c3effec7c8ddba466d4f03f982c7aa3'}),frozenset({'0aabfb375647d9738ad0f7b4ea3653b1'}),0.0009527091399266211,0.0013986580990412098,5.067601808120325e-05,0.05319148936170213,38.03037311131668,4.934350372661429e-05,1.0547025408841588
frozenset({'0aabfb375647d9738ad0f7b4ea3653b1'}),frozenset({'6c3effec7c8ddba466d4f03f982c7aa3'}),0.0013986580990412098,0.0009527091399266211,5.067601808120325e-05,0.03623188405797101,38.03037311131668,4.934350372661429e-05,1.0366054596893994
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.0011250076014027123,0.0015810917641335413,0.0003445969229521821,0.3063063063063063,193.73088473088472,0.0003428181826990166,1.4392792053789762
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0015810917641335413,0.0011250076014027123,0.0003445969229521821,0.21794871794871795,193.73088473088472,0.0003428181826990166,1.2772499902801737
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.0005675714025094764,0.0009020331218454179,0.00017229846147609105,0.30357142857142855,336.54133226324234,0.00017178649327201525,1.4346022088506836
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.0009020331218454179,0.0005675714025094764,0.00017229846147609105,0.19101123595505617,336.5413322632424,0.00017178649327201525,1.23540952979412
frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),frozenset({'e5ae72c62ebfa708624f5029d609b160'}),0.00021283927594105366,0.0003445969229521821,6.08112216974439e-05,0.2857142857142857,829.1260504201681,6.0737877937871244e-05,1.399517564307867
frozenset({'e5ae72c62ebfa708624f5029d609b160'}),frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),0.0003445969229521821,0.00021283927594105366,6.08112216974439e-05,0.17647058823529413,829.1260504201681,6.0737877937871244e-05,1.2140272665935001
frozenset({'ad4b5def91ac7c575dbdf65b5be311f4'}),frozenset({'e6b314a2236c162ede1a879f1075430f'}),9.121683254616585e-05,9.121683254616585e-05,6.08112216974439e-05,0.6666666666666666,7308.592592592592,6.0802901186904145e-05,2.999726349502361
