antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'bed_bath_table', 'garden_tools'})",frozenset({'housewares'}),0.00016767973171242926,0.06100398239362817,3.1439949696080486e-05,0.1875,3.073569833361965,2.1210818294927155e-05,1.1556874062847653
frozenset({'housewares'}),"frozenset({'bed_bath_table', 'garden_tools'})",0.06100398239362817,0.00016767973171242926,3.1439949696080486e-05,0.0005153753650575503,3.073569833361965,2.1210818294927155e-05,1.0003478749195087
"frozenset({'bed_bath_table', 'fashion_bags_accessories'})",frozenset({'housewares'}),0.00011527981555229512,0.06100398239362817,2.0959966464053657e-05,0.1818181818181818,2.9804313535631177,1.3927438625760744e-05,1.1476617992966767
frozenset({'housewares'}),"frozenset({'bed_bath_table', 'fashion_bags_accessories'})",0.06100398239362817,0.00011527981555229512,2.0959966464053657e-05,0.0003435835767050335,2.9804313535631177,1.3927438625760744e-05,1.0002283822295361
"frozenset({'bed_bath_table', 'furniture_decor'})",frozenset({'home_confort'}),0.0016348773841961854,0.004150073359882624,2.0959966464053657e-05,0.01282051282051282,3.089225589225589,1.4175105385226478e-05,1.0087830425705084
"frozenset({'furniture_decor', 'home_confort'})",frozenset({'bed_bath_table'}),9.431984908824147e-05,0.09583944665688535,2.0959966464053657e-05,0.2222222222222222,2.3186926675171615,1.1920404318675663e-05,1.1624921400125758
frozenset({'bed_bath_table'}),"frozenset({'furniture_decor', 'home_confort'})",0.09583944665688535,9.431984908824147e-05,2.0959966464053657e-05,0.00021869874248223073,2.3186926675171615,1.1920404318675663e-05,1.0001244061008518
frozenset({'home_confort'}),"frozenset({'bed_bath_table', 'furniture_decor'})",0.004150073359882624,0.0016348773841961854,2.0959966464053657e-05,0.00505050505050505,3.0892255892255887,1.4175105385226478e-05,1.003432965877813
"frozenset({'health_beauty', 'housewares'})",frozenset({'perfumery'}),0.00015719974848040242,0.032739467616851814,2.0959966464053657e-05,0.13333333333333333,4.07255655142979,1.5813330389302274e-05,1.1160698450574786
"frozenset({'housewares', 'perfumery'})",frozenset({'health_beauty'}),9.431984908824147e-05,0.09094529448752882,2.0959966464053657e-05,0.2222222222222222,2.443471357967786,1.238202001270426e-05,1.1687846213731772
frozenset({'health_beauty'}),"frozenset({'housewares', 'perfumery'})",0.09094529448752882,9.431984908824147e-05,2.0959966464053657e-05,0.000230467849734962,2.443471357967786,1.238202001270426e-05,1.000136179385617
frozenset({'perfumery'}),"frozenset({'health_beauty', 'housewares'})",0.032739467616851814,0.00015719974848040242,2.0959966464053657e-05,0.0006402048655569782,4.072556551429791,1.5813330389302274e-05,1.000483314537395
"frozenset({'auto', 'bed_bath_table'})",frozenset({'cool_stuff'}),0.00015719974848040242,0.03788513938377699,2.0959966464053657e-05,0.13333333333333333,3.519409866297833,1.5004432081778926e-05,1.1101325314802573
